Date,Open,High,Low,Close,Adj Close,Volume
2021-07-13,0.086468,0.118653,0.085271,0.115735,0.115735,76370640
2021-07-14,0.115763,0.154856,0.107710,0.122256,0.122256,110324391
2021-07-15,0.122264,0.181895,0.122237,0.171543,0.171543,142445497
2021-07-16,0.171832,0.181932,0.147297,0.162471,0.162471,120337966
2021-07-17,0.162431,0.180230,0.149241,0.167230,0.167230,69274076
2021-07-18,0.167243,0.173431,0.132324,0.155588,0.155588,62654898
2021-07-19,0.155619,0.170945,0.142545,0.158279,0.158279,87324485
2021-07-20,0.158289,0.165245,0.094950,0.133262,0.133262,97802643
2021-07-21,0.133256,0.149612,0.124500,0.147490,0.147490,79845145
2021-07-22,0.147496,0.153752,0.129376,0.135380,0.135380,66817631
2021-07-23,0.135346,0.142934,0.132398,0.142934,0.142934,28638823
2021-07-24,0.143016,0.148597,0.140667,0.144688,0.144688,30560087
2021-07-25,0.144765,0.144868,0.125836,0.134996,0.134996,31285119
2021-07-26,0.134990,0.142685,0.116606,0.122930,0.122930,36186336
2021-07-27,0.122824,0.140458,0.117046,0.136695,0.136695,32610142
2021-07-28,0.136746,0.139045,0.126515,0.128595,0.128595,27238888
2021-07-29,0.128553,0.133135,0.125687,0.126721,0.126721,23205537
2021-07-30,0.126764,0.127226,0.113347,0.117651,0.117651,36360618
2021-07-31,0.117862,0.125193,0.108585,0.123039,0.123039,29471168
2021-08-01,0.122860,0.127011,0.121448,0.123434,0.123434,23757644
2021-08-02,0.123193,0.125739,0.109796,0.117302,0.117302,28343584
2021-08-03,0.117371,0.145022,0.115960,0.141227,0.141227,51687160
2021-08-04,0.141247,0.159716,0.138783,0.145970,0.145970,44312597
2021-08-05,0.145913,0.155553,0.144893,0.144905,0.144905,33468121
2021-08-06,0.144899,0.149069,0.132977,0.134564,0.134564,35517089
2021-08-07,0.134462,0.138729,0.121389,0.127658,0.127658,33634523
2021-08-08,0.127430,0.138560,0.123538,0.130114,0.130114,24642538
2021-08-09,0.130202,0.131136,0.119747,0.129064,0.129064,20586406
2021-08-10,0.129057,0.129565,0.116916,0.120919,0.120919,22200120
2021-08-11,0.120937,0.134433,0.120090,0.130774,0.130774,27646622
2021-08-12,0.130648,0.138262,0.122354,0.138004,0.138004,29710352
2021-08-13,0.137983,0.151199,0.128107,0.149009,0.149009,29756237
2021-08-14,0.148915,0.155156,0.146030,0.154972,0.154972,31715689
2021-08-15,0.155041,0.170325,0.153829,0.160524,0.160524,41540773
2021-08-16,0.160448,0.169029,0.154934,0.163182,0.163182,34436480
2021-08-17,0.163070,0.177231,0.162064,0.173630,0.173630,39834365
2021-08-18,0.173606,0.191173,0.170001,0.190334,0.190334,66220038
2021-08-19,0.190273,0.190273,0.176214,0.179014,0.179014,52112877
2021-08-20,0.179059,0.182101,0.170201,0.175034,0.175034,44320344
2021-08-21,0.174998,0.192547,0.170432,0.187484,0.187484,50405075
2021-08-22,0.187318,0.189239,0.174879,0.180305,0.180305,45839353
2021-08-23,0.180188,0.187339,0.171491,0.179293,0.179293,45618087
2021-08-24,0.179339,0.186008,0.175504,0.181498,0.181498,43418231
2021-08-25,0.181466,0.185182,0.177624,0.184235,0.184235,37921123
2021-08-26,0.184241,0.205847,0.178695,0.196421,0.196421,56965566
2021-08-27,0.196454,0.230227,0.196156,0.229485,0.229485,59693215
2021-08-28,0.229558,0.243087,0.211775,0.236841,0.236841,63988706
2021-08-29,0.236809,0.254489,0.216951,0.221335,0.221335,59629405
2021-08-30,0.221335,0.243538,0.215268,0.243538,0.243538,54866463
2021-08-31,0.243318,0.259562,0.233515,0.253268,0.253268,73889664
2021-09-01,0.253135,0.266189,0.242823,0.264325,0.264325,68186544
2021-09-02,0.264325,0.283501,0.253451,0.282516,0.282516,79980562
2021-09-03,0.282470,0.291676,0.274108,0.286815,0.286815,68747753
2021-09-04,0.286763,0.357934,0.279304,0.351204,0.351204,130943437
2021-09-05,0.351257,0.356398,0.313111,0.355824,0.355824,98750641
2021-09-06,0.355831,0.428026,0.347073,0.400119,0.400119,131119624
2021-09-07,0.400143,0.426130,0.341056,0.405921,0.405921,115418098
2021-09-08,0.405950,0.445848,0.371721,0.444148,0.444148,100498404
2021-09-09,0.453253,0.477114,0.415717,0.466912,0.466912,116064573
2021-09-10,0.466927,0.489330,0.435714,0.462361,0.462361,114748297
2021-09-11,0.462436,0.463928,0.400995,0.451062,0.451062,100561776
2021-09-12,0.451103,0.451215,0.363776,0.409270,0.409270,86807293
2021-09-13,0.409157,0.409581,0.346172,0.363013,0.363013,91404290
2021-09-14,0.363025,0.407806,0.356612,0.388834,0.388834,60248874
2021-09-15,0.388888,0.400996,0.376225,0.390902,0.390902,50059599
2021-09-16,0.390882,0.410220,0.384765,0.392362,0.392362,58191417
2021-09-17,0.392342,0.419282,0.390353,0.419282,0.419282,47131687
2021-09-18,0.419474,0.492702,0.419103,0.486741,0.486741,77373930
2021-09-19,0.486895,0.510655,0.468487,0.478195,0.478195,67949766
2021-09-20,0.478132,0.478474,0.401230,0.443536,0.443536,105672987
2021-09-21,0.443359,0.451362,0.411937,0.411937,0.411937,59234095
2021-09-22,0.412430,0.440320,0.399870,0.421945,0.421945,60401793
2021-09-23,0.421967,0.474524,0.420585,0.472997,0.472997,57179252
2021-09-24,0.472972,0.478924,0.448596,0.474184,0.474184,54143965
2021-09-25,0.474188,0.474188,0.456040,0.463375,0.463375,40730084
2021-09-26,0.463343,0.464529,0.441843,0.450291,0.450291,39168048
2021-09-27,0.450120,0.450525,0.419656,0.434434,0.434434,48193274
2021-09-28,0.434449,0.434449,0.393970,0.395359,0.395359,40907133
2021-09-29,0.395504,0.434950,0.395460,0.406514,0.406514,65473969
2021-09-30,0.406506,0.430780,0.395230,0.396273,0.396273,43502192
2021-10-01,0.396300,0.457836,0.396300,0.457836,0.457836,57191442
2021-10-02,0.457755,0.458630,0.417712,0.417712,0.417712,40310250
2021-10-03,0.417597,0.425797,0.405905,0.418384,0.418384,39937823
2021-10-04,0.418433,0.431652,0.405742,0.410807,0.410807,37624756
2021-10-05,0.410821,0.421995,0.380656,0.385411,0.385411,54116352
2021-10-06,0.385350,0.386630,0.363931,0.378040,0.378040,49418260
2021-10-07,0.377966,0.406534,0.376482,0.383579,0.383579,36389033
2021-10-08,0.383532,0.411730,0.383532,0.406390,0.406390,34783049
2021-10-09,0.406420,0.437647,0.405807,0.428281,0.428281,36658711
2021-10-10,0.428240,0.432111,0.418475,0.422886,0.422886,24016799
2021-10-11,0.422685,0.433013,0.401782,0.403159,0.403159,26949147
2021-10-12,0.403226,0.403226,0.375338,0.381262,0.381262,42845000
2021-10-13,0.381242,0.389304,0.337643,0.365882,0.365882,49035294
2021-10-14,0.365911,0.384560,0.343809,0.367862,0.367862,38576447
2021-10-15,0.367764,0.387045,0.283309,0.328161,0.328161,96568727
2021-10-16,0.328164,0.344223,0.269915,0.293489,0.293489,65990366
2021-10-17,0.293488,0.296982,0.264138,0.284177,0.284177,39980743
2021-10-18,0.284199,0.286811,0.223524,0.267519,0.267519,70638577
2021-10-19,0.267515,0.333160,0.266848,0.319833,0.319833,39528941
2021-10-20,0.319707,0.327245,0.291011,0.299431,0.299431,32042058
2021-10-21,0.299337,0.314489,0.270742,0.282084,0.282084,48818418
2021-10-22,0.282009,0.313369,0.270288,0.313277,0.313277,31763761
2021-10-23,0.313259,0.341576,0.291973,0.332036,0.332036,37250788
2021-10-24,0.332141,0.334620,0.303308,0.325211,0.325211,20925573
2021-10-25,0.325084,0.326631,0.297079,0.300179,0.300179,22719021
2021-10-26,0.300264,0.310844,0.279826,0.279826,0.279826,24409066
2021-10-27,0.279821,0.293176,0.252995,0.253309,0.253309,32914637
2021-10-28,0.253332,0.262987,0.230390,0.250360,0.250360,45072542
2021-10-29,0.250444,0.252723,0.204488,0.223739,0.223739,44853504
2021-10-30,0.223754,0.224128,0.207013,0.215742,0.215742,32083690
2021-10-31,0.216096,0.265063,0.201775,0.232539,0.232539,43945540
2021-11-01,0.232601,0.233601,0.215836,0.221711,0.221711,30182806
2021-11-02,0.221761,0.228565,0.213920,0.227721,0.227721,23823692
2021-11-03,0.227767,0.230742,0.215873,0.223222,0.223222,19820099
2021-11-04,0.223152,0.223152,0.191636,0.206154,0.206154,30129415
2021-11-05,0.206075,0.219820,0.196330,0.209683,0.209683,30356759
2021-11-06,0.209744,0.209817,0.181129,0.193191,0.193191,25618738
2021-11-07,0.193240,0.203431,0.171131,0.175281,0.175281,33633160
2021-11-08,0.175262,0.192079,0.156970,0.167879,0.167879,37175877
2021-11-09,0.167905,0.199897,0.147549,0.191509,0.191509,36162584
2021-11-10,0.191483,0.191483,0.167371,0.182337,0.182337,22469249
2021-11-11,0.182405,0.272616,0.178832,0.239923,0.239923,51052730
2021-11-12,0.240039,0.319729,0.235743,0.267212,0.267212,39512878
2021-11-13,0.267146,0.310764,0.246944,0.250192,0.250192,15595757
2021-11-14,0.250323,0.270834,0.244350,0.244758,0.244758,29075407
2021-11-15,0.244684,0.250792,0.231411,0.232941,0.232941,20018753
2021-11-16,0.233127,0.556091,0.199281,0.207759,0.207759,35931078
2021-11-17,0.207673,0.297650,0.194284,0.204397,0.204397,26612009
2021-11-18,0.204426,0.225151,0.202937,0.216923,0.216923,27684740
2021-11-19,0.216948,0.221280,0.202957,0.203290,0.203290,13523374
2021-11-20,0.203258,0.220130,0.186549,0.212054,0.212054,21006243
2021-11-21,0.212069,0.212119,0.179852,0.192784,0.192784,14873415
2021-11-22,0.192745,0.194120,0.181918,0.188130,0.188130,11245733
2021-11-23,0.188126,0.188636,0.178261,0.182497,0.182497,16133540
2021-11-24,0.182517,0.186042,0.158656,0.179567,0.179567,16187364
2021-11-25,0.175937,0.205263,0.174431,0.181909,0.181909,24253380
2021-11-26,0.204748,0.205942,0.180616,0.192507,0.192507,25655790
2021-11-27,0.192403,0.196073,0.179505,0.183101,0.183101,13507476
2021-11-28,0.183277,0.190332,0.158723,0.173974,0.173974,23590073
2021-11-29,0.174016,0.183466,0.161952,0.183415,0.183415,23398207
2021-11-30,0.183441,0.183441,0.166808,0.171498,0.171498,15483094
2021-12-01,0.171464,0.184426,0.171464,0.180344,0.180344,12536551
2021-12-02,0.180348,0.189200,0.172942,0.180481,0.180481,15001316
2021-12-03,0.180482,0.190098,0.170602,0.172186,0.172186,14067338
2021-12-04,0.172164,0.172227,0.159574,0.165504,0.165504,15263461
2021-12-05,0.165606,0.166016,0.138512,0.153546,0.153546,28027090
2021-12-06,0.153565,0.154445,0.137182,0.141562,0.141562,21489619
2021-12-07,0.141552,0.145101,0.129302,0.135715,0.135715,21412847
2021-12-08,0.135711,0.140912,0.126640,0.131694,0.131694,20855115
2021-12-09,0.131709,0.148631,0.124975,0.141021,0.141021,25086388
2021-12-10,0.140976,0.146125,0.134753,0.135796,0.135796,10545277
2021-12-11,0.135771,0.160628,0.134909,0.160624,0.160624,18746417
2021-12-12,0.160567,0.163916,0.143699,0.154043,0.154043,18875176
2021-12-13,0.154069,0.162067,0.150398,0.161863,0.161863,18377512
2021-12-14,0.161863,0.212581,0.161808,0.201630,0.201630,40066611
2021-12-15,0.192639,0.218517,0.188502,0.218517,0.218517,28333892
2021-12-16,0.218474,0.237789,0.216176,0.229741,0.229741,32380915
2021-12-17,0.229646,0.238328,0.191359,0.197034,0.197034,33446039
2021-12-18,0.196943,0.225127,0.196713,0.222058,0.222058,37662248
2021-12-19,0.222060,0.247170,0.210529,0.243130,0.243130,29148897
2021-12-20,0.243147,0.272330,0.230574,0.272210,0.272210,46731099
2021-12-21,0.272086,0.306914,0.272086,0.297066,0.297066,50969816
2021-12-22,0.297119,0.298088,0.262548,0.276212,0.276212,37871203
2021-12-23,0.275911,0.303021,0.272379,0.294535,0.294535,25538156
2021-12-24,0.294457,0.317981,0.286874,0.308195,0.308195,31616952
2021-12-25,0.308018,0.319605,0.292598,0.302502,0.302502,22200041
2021-12-26,0.302289,0.303003,0.284341,0.287613,0.287613,26380625
2021-12-27,0.287654,0.299403,0.270578,0.298650,0.298650,26499699
2021-12-28,0.298607,0.299797,0.271685,0.289722,0.289722,31895986
2021-12-29,0.289805,0.344071,0.278867,0.330997,0.330997,56482841
2021-12-30,0.330722,0.351966,0.313885,0.314440,0.314440,58651983
2021-12-31,0.314431,0.315755,0.251716,0.284989,0.284989,54813026
2022-01-01,0.284991,0.286832,0.233465,0.248434,0.248434,46291476
2022-01-02,0.248434,0.248492,0.214523,0.217475,0.217475,25890420
2022-01-03,0.217475,0.246571,0.215513,0.244516,0.244516,17201292
2022-01-04,0.244516,0.275652,0.236401,0.246714,0.246714,20416990
2022-01-05,0.246714,0.263061,0.203662,0.203662,0.203662,21561645
2022-01-06,0.203662,0.224183,0.192157,0.214324,0.214324,24928950
2022-01-07,0.214324,0.229988,0.212730,0.222670,0.222670,31014797
